MaKhachHang,MaSanPham,DiemDanhGia
KH0001,SP0012,2
KH0004,SP0048,1
KH0008,SP0037,3
KH0007,SP0022,2
KH0007,SP0049,4
KH0008,SP0015,4
KH0006,SP0001,4
KH0008,SP0022,4
KH0009,SP0044,1
KH0001,SP0009,5
KH0004,SP0004,2
KH0010,SP0044,4
KH0009,SP0031,5
KH0009,SP0050,1
KH0006,SP0025,5
KH0006,SP0031,4
KH0008,SP0046,1
KH0007,SP0048,2
KH0001,SP0006,3
KH0004,SP0049,4
KH0009,SP0019,4
KH0008,SP0041,2
KH0004,SP0016,5
KH0007,SP0010,2
KH0003,SP0029,3
KH0004,SP0022,4
KH0003,SP0034,2
KH0001,SP0017,5
KH0010,SP0003,3
KH0003,SP0038,1
KH0001,SP0050,4
KH0006,SP0024,2
KH0005,SP0026,2
KH0010,SP0018,1
KH0002,SP0006,4
KH0009,SP0001,4
KH0004,SP0020,5
KH0010,SP0003,1
KH0008,SP0027,4
KH0004,SP0014,2
KH0005,SP0034,3
KH0008,SP0006,2
KH0009,SP0042,2
KH0001,SP0045,2
KH0010,SP0025,3
KH0005,SP0026,3
KH0005,SP0040,3
KH0008,SP0002,4
KH0008,SP0016,5
KH0004,SP0037,1
KH0010,SP0032,1
KH0010,SP0016,1
KH0007,SP0049,3
KH0002,SP0016,5
KH0004,SP0016,3
KH0001,SP0047,1
KH0001,SP0019,1
KH0005,SP0028,3
KH0006,SP0024,1
KH0006,SP0024,4
KH0001,SP0031,2
KH0010,SP0024,2
KH0002,SP0034,5
KH0003,SP0010,4
KH0010,SP0005,2
KH0008,SP0027,4
KH0004,SP0028,2
KH0001,SP0047,1
KH0004,SP0030,5
KH0004,SP0011,5
KH0009,SP0015,3
KH0010,SP0019,4
KH0010,SP0025,2
KH0002,SP0039,2
KH0002,SP0039,1
KH0007,SP0033,1
KH0010,SP0026,4
KH0009,SP0045,2
KH0002,SP0022,4
KH0005,SP0028,2
KH0007,SP0023,5
KH0010,SP0039,5
KH0008,SP0024,1
KH0001,SP0041,4
KH0008,SP0028,2
KH0009,SP0041,1
KH0006,SP0018,4
KH0002,SP0026,2
