Question,infomation,productTopSell,recommendedProduct,ingredient,quality,greeting
mình muốn biết đánh giá về cà phê có cao không,0,0,0,0,1,0
bạn có thể trả lời thắc mắc của mình sản phẩm cà phê có xứng đáng không,0,0,0,0,1,0
nhân viên mình có một câu hỏi,0,0,0,0,0,1
bạn có thể cung cấp thông tin về sản phẩm bán chạy nhất hiện tại là gì,0,1,0,0,0,0
mình có một thắc mắc thành phần của cà phê không,1,0,0,0,0,0
mình đang thắc mắc về sản phẩm cà phê có phải là sự lựa chọn hoàn hảo không,0,0,0,0,1,0
bạn có thể trả lời thắc mắc của mình espresso còn bao nhiêu ly,1,0,0,0,0,0
cho mình thắc mắc gợi ý cà phê nào cho tôi tốt nhất,0,0,1,0,0,0
mình có một câu hỏi sản phẩm nào được làm từ mật ong,0,0,0,1,0,0
mình muốn hỏi sản phẩm americano có thực sự chất lượng không,0,0,0,0,1,0
bạn cho mình xin thông tin về sản phẩm nào được chế biến bởi trà,0,0,0,1,0,0
cho tớ hỏi cửa hàng gợi ý sản phẩm cho mình được không,0,0,1,0,0,0
mình có một thắc mắc,0,0,0,0,0,1
bạn có thể gợi ý cà phê cho em không,0,0,1,0,0,0
có thể cho mình biết nhiều người đánh giá americano cao không,0,0,0,0,1,0
cậu giúp mình với americano được chế biến như thế nào,1,0,0,0,0,0
mình muốn hỏi bạn chút thông tin về cà phê có phù hợp với tôi không,0,0,0,0,1,0
có thể giải đáp giúp mình không sản phẩm nào được chế biến bởi bột mì,0,0,0,1,0,0
mình muốn hỏi thành phần của americano không,1,0,0,0,0,0
có thể cho mình biết sữa có trong sản phẩm nào,0,0,0,1,0,0
sản phẩm nào được làm từ trứng,0,0,0,1,0,0
mình thắc mắc muốn hỏi bạn có gì đặc biệt về cà phê mà mình nên biết,1,0,0,0,0,0
mình muốn biết những sản phẩm nào đang bán chạy nhất trong danh mục hiện nay,0,1,0,0,0,0
mình đang thắc mắc về quán có thể báo giá espresso giúp mình được không,1,0,0,0,0,0
bạn giúp mình với gợi ý cho mình cà phê tương tự với,0,0,1,0,0,0
bạn cho mình xin thông tin về americano có chất lượng ổn không,0,0,0,0,1,0
cậu giúp mình với có sản phẩm nào chứa trà không,0,0,0,1,0,0
chào cậu mình đang thắc mắc về,0,0,0,0,0,1
mình muốn hỏi hiện tại có thể mua bao nhiêu cà phê,1,0,0,0,0,0
có thể hỗ trợ mình với cà phê là sản phẩm loại gì,1,0,0,0,0,0
mình cần chút thông tin về espresso có chất lượng không,0,0,0,0,1,0
chào,0,0,0,0,0,1
mình muốn hỏi bạn muốn biết cà phê nào là tốt nhất,0,0,1,0,0,0
bạn cho mình hỏi sản phẩm nào đang được đánh giá cao nhất,0,1,0,0,0,0
mình cần bạn giải đáp americano có thuộc loại cao cấp không,1,0,0,0,0,0
bạn có thể trả lời giúp mình tôi có thể tìm sản phẩm chứa bột mì ở đâu,0,0,0,1,0,0
bạn có thể cung cấp thông tin về sản phẩm nào sử dụng trà,0,0,0,1,0,0
có thể hỏi bạn về sản phẩm có chứa trứng không,0,0,0,1,0,0
tôi thích cà phê nào thì nên mua gì,0,0,1,0,0,0
hello mọi người cậu giúp mình với,0,0,0,0,0,1
bạn cho mình xin thông tin về quán đang bán chạy sản phẩm nào,0,1,0,0,0,0
cho mình thắc mắc em có thể thử cà phê nào,0,0,1,0,0,0
chào mọi người mình thắc mắc muốn hỏi bạn,0,0,0,0,0,1
cho mình thắc mắc bạn có thể thử cà phê nào,0,0,1,0,0,0
bạn có thể cung cấp thông tin về có cà phê nào mà mình không nên bỏ lỡ không,0,0,1,0,0,0
mình đang thắc mắc về bạn có thể cho mình biết giá của cà phê không,1,0,0,0,0,0
mình có một thắc mắc americano được giới thiệu ra sao,1,0,0,0,0,0
xin chào shop mình đang thắc mắc về,0,0,0,0,0,1
mình muốn hỏi espresso có phải là lựa chọn tốt không,0,0,0,0,1,0
mình muốn hỏi bạn chút thông tin về anh có thể tham khảo cà phê nào,0,0,1,0,0,0
bạn cho mình xin thông tin về cà phê có tốt không,0,0,0,0,1,0
